Average node displacement, Average absolute node displacement, Iteration number
-2.76674e-06,2.76674e-06,11600
-2.76501e-06,2.76501e-06,11650
-2.76728e-06,2.76728e-06,11700
-2.77158e-06,2.77158e-06,11750
-2.76805e-06,2.76805e-06,11800
-2.76072e-06,2.76072e-06,11850
-2.76205e-06,2.76205e-06,11900
-2.77006e-06,2.77006e-06,11950
-2.76699e-06,2.76699e-06,12000
-2.77322e-06,2.77322e-06,12050
-2.77345e-06,2.77345e-06,12100
-2.77243e-06,2.77243e-06,12150
-2.76894e-06,2.76894e-06,12200
-2.76248e-06,2.76248e-06,12250
-2.7668e-06,2.7668e-06,12300
-2.77174e-06,2.77174e-06,12350
-2.7713e-06,2.7713e-06,12400
-2.76446e-06,2.76446e-06,12450
-2.77107e-06,2.77107e-06,12500
-2.76534e-06,2.76534e-06,12550
-2.76273e-06,2.76273e-06,12600
-2.76961e-06,2.76961e-06,12650
-2.76164e-06,2.76164e-06,12700
-2.76496e-06,2.76496e-06,12750
-2.76837e-06,2.76837e-06,12800
-2.76858e-06,2.76858e-06,12850
-2.76833e-06,2.76833e-06,12900
-2.76396e-06,2.76396e-06,12950
-2.76419e-06,2.76419e-06,13000
-2.76447e-06,2.76447e-06,13050
-2.77245e-06,2.77245e-06,13100
-2.76578e-06,2.76578e-06,13150
-2.76677e-06,2.76677e-06,13200
-2.77051e-06,2.77051e-06,13250
-2.76971e-06,2.76971e-06,13300
-2.76578e-06,2.76578e-06,13350
-2.7733e-06,2.7733e-06,13400
-2.76771e-06,2.76771e-06,13450
-2.77351e-06,2.77351e-06,13500
-2.76326e-06,2.76326e-06,13550
-2.76642e-06,2.76642e-06,13600
-2.77067e-06,2.77067e-06,13650
-2.77058e-06,2.77058e-06,13700
-2.76688e-06,2.76688e-06,13750
-2.76926e-06,2.76926e-06,13800
-2.76462e-06,2.76462e-06,13850
-2.76667e-06,2.76667e-06,13900
-2.77004e-06,2.77004e-06,13950
-2.76772e-06,2.76772e-06,14000
-2.76826e-06,2.76826e-06,14050
-2.76862e-06,2.76862e-06,14100
-2.76002e-06,2.76002e-06,14150
-2.76738e-06,2.76738e-06,14200
-2.76006e-06,2.76006e-06,14250
-2.76713e-06,2.76713e-06,14300
-2.76763e-06,2.76763e-06,14350
-2.76736e-06,2.76736e-06,14400
-2.77311e-06,2.77311e-06,14450
-2.76557e-06,2.76557e-06,14500
-2.76783e-06,2.76783e-06,14550
-2.77185e-06,2.77185e-06,14600
-2.76041e-06,2.76041e-06,14650
-2.76649e-06,2.76649e-06,14700
-2.76628e-06,2.76628e-06,14750
-2.76595e-06,2.76595e-06,14800
-2.76728e-06,2.76728e-06,14850
-2.76672e-06,2.76672e-06,14900
-2.76086e-06,2.76086e-06,14950
-2.76442e-06,2.76442e-06,15000
-2.76709e-06,2.76709e-06,15050
-2.77282e-06,2.77282e-06,15100
-2.76907e-06,2.76907e-06,15150
-2.76838e-06,2.76838e-06,15200
-2.75871e-06,2.75871e-06,15250
-2.76801e-06,2.76801e-06,15300
-2.77087e-06,2.77087e-06,15350
-2.76776e-06,2.76776e-06,15400
-2.76537e-06,2.76537e-06,15450
-2.76708e-06,2.76708e-06,15500
-2.76547e-06,2.76547e-06,15550
-2.77064e-06,2.77064e-06,15600
-2.77078e-06,2.77078e-06,15650
-2.7661e-06,2.7661e-06,15700
-2.76842e-06,2.76842e-06,15750
-2.76809e-06,2.76809e-06,15800
-2.76772e-06,2.76772e-06,15850
-2.76796e-06,2.76796e-06,15900
-2.76946e-06,2.76946e-06,15950
-2.76373e-06,2.76373e-06,16000
-2.77111e-06,2.77111e-06,16050
-2.76665e-06,2.76665e-06,16100
-2.76703e-06,2.76703e-06,16150
-2.77002e-06,2.77002e-06,16200
-2.77795e-06,2.77795e-06,16250
-2.76525e-06,2.76525e-06,16300
-2.76895e-06,2.76895e-06,16350
-2.76621e-06,2.76621e-06,16400
-2.76536e-06,2.76536e-06,16450
-2.77292e-06,2.77292e-06,16500
-2.76298e-06,2.76298e-06,16550
-2.76732e-06,2.76732e-06,16600
-2.76148e-06,2.76148e-06,16650
-2.76502e-06,2.76502e-06,16700
-2.76496e-06,2.76496e-06,16750
-2.77021e-06,2.77021e-06,16800
-2.76323e-06,2.76323e-06,16850
-2.75839e-06,2.75839e-06,16900
-2.76699e-06,2.76699e-06,16950
-2.76488e-06,2.76488e-06,17000
-2.76158e-06,2.76158e-06,17050
-2.75736e-06,2.75736e-06,17100
-2.76781e-06,2.76781e-06,17150
-2.76588e-06,2.76588e-06,17200
-2.76492e-06,2.76492e-06,17250
-2.768e-06,2.768e-06,17300
-2.76999e-06,2.76999e-06,17350
-2.76941e-06,2.76941e-06,17400
-2.76378e-06,2.76378e-06,17450
-2.76221e-06,2.76221e-06,17500
-2.77276e-06,2.77276e-06,17550
-2.76742e-06,2.76742e-06,17600
-2.76477e-06,2.76477e-06,17650
-2.7639e-06,2.7639e-06,17700
-2.76473e-06,2.76473e-06,17750
-2.77483e-06,2.77483e-06,17800
-2.77155e-06,2.77155e-06,17850
-2.76885e-06,2.76885e-06,17900
-2.76744e-06,2.76744e-06,17950
-2.75836e-06,2.75836e-06,18000
-2.77361e-06,2.77361e-06,18050
-2.76548e-06,2.76548e-06,18100
-2.77002e-06,2.77002e-06,18150
-2.77003e-06,2.77003e-06,18200
-2.76794e-06,2.76794e-06,18250
-2.76908e-06,2.76908e-06,18300
-2.76434e-06,2.76434e-06,18350
-2.7691e-06,2.7691e-06,18400
-2.7651e-06,2.7651e-06,18450
-2.75822e-06,2.75822e-06,18500
-2.76831e-06,2.76831e-06,18550
-2.76566e-06,2.76566e-06,18600
-2.7652e-06,2.7652e-06,18650
-2.76233e-06,2.76233e-06,18700
-2.76839e-06,2.76839e-06,18750
-2.7608e-06,2.7608e-06,18800
-2.77114e-06,2.77114e-06,18850
-2.76262e-06,2.76262e-06,18900
-2.76252e-06,2.76252e-06,18950
-2.76371e-06,2.76371e-06,19000
-2.76644e-06,2.76644e-06,19050
-2.77582e-06,2.77582e-06,19100
-2.76669e-06,2.76669e-06,19150
-2.76486e-06,2.76486e-06,19200
-2.76343e-06,2.76343e-06,19250
-2.76962e-06,2.76962e-06,19300
-2.77019e-06,2.77019e-06,19350
-2.76616e-06,2.76616e-06,19400
-2.77417e-06,2.77417e-06,19450
-2.76233e-06,2.76233e-06,19500
-2.75984e-06,2.75984e-06,19550
-2.76618e-06,2.76618e-06,19600
-2.77299e-06,2.77299e-06,19650
-2.76532e-06,2.76532e-06,19700
-2.76474e-06,2.76474e-06,19750
-2.76791e-06,2.76791e-06,19800
-2.76295e-06,2.76295e-06,19850
-2.76771e-06,2.76771e-06,19900
-2.77689e-06,2.77689e-06,19950
-2.76683e-06,2.76683e-06,20000
